tr|Q2W564|Q2W564_PARM1	d4bbfb9324bc917ef8d24bdf7c613ff8	535	Phobius	SIGNAL_PEPTIDE_N_REGION	N-terminal region of a signal peptide.	1	6	-	T	12-02-2026	-	-	-	-
tr|Q2W564|Q2W564_PARM1	d4bbfb9324bc917ef8d24bdf7c613ff8	535	Phobius	SIGNAL_PEPTIDE_C_REGION	C-terminal region of a signal peptide.	19	26	-	T	12-02-2026	-	-	-	-
tr|Q2W564|Q2W564_PARM1	d4bbfb9324bc917ef8d24bdf7c613ff8	535	Pfam	PF01471	Putative peptidoglycan binding domain	208	265	4.0E-5	T	12-02-2026	IPR002477	Peptidoglycan binding-like	-	Reactome:R-BTA-1433557|Reactome:R-BTA-1442490|Reactome:R-BTA-1474228|Reactome:R-BTA-1592389|Reactome:R-BTA-3928665|Reactome:R-BTA-6798695|Reactome:R-BTA-9009391|Reactome:R-CEL-1442490|Reactome:R-CEL-1474228|Reactome:R-CEL-1592389|Reactome:R-CEL-210991|Reactome:R-CEL-2168880|Reactome:R-CEL-2179392|Reactome:R-CEL-3928665|Reactome:R-CEL-6798695|Reactome:R-CFA-1442490|Reactome:R-CFA-1474228|Reactome:R-CFA-1592389|Reactome:R-CFA-2179392|Reactome:R-CFA-9009391|Reactome:R-GGA-1442490|Reactome:R-GGA-1474228|Reactome:R-GGA-1592389|Reactome:R-GGA-3928665|Reactome:R-GGA-9009391|Reactome:R-HSA-1442490|Reactome:R-HSA-1474228|Reactome:R-HSA-1592389|Reactome:R-HSA-2022090|Reactome:R-HSA-210991|Reactome:R-HSA-2179392|Reactome:R-HSA-381426|Reactome:R-HSA-6785807|Reactome:R-HSA-6798695|Reactome:R-HSA-8941332|Reactome:R-HSA-9009391|Reactome:R-HSA-9839383|Reactome:R-HSA-9856530|Reactome:R-MMU-1442490|Reactome:R-MMU-1474228|Reactome:R-MMU-1592389|Reactome:R-MMU-2022090|Reactome:R-MMU-210991|Reactome:R-MMU-2179392|Reactome:R-MMU-6798695|Reactome:R-MMU-9009391|Reactome:R-MMU-9839383|Reactome:R-RNO-1442490|Reactome:R-RNO-1474228|Reactome:R-RNO-1592389|Reactome:R-RNO-2022090|Reactome:R-RNO-2179392|Reactome:R-RNO-6798695|Reactome:R-RNO-9009391|Reactome:R-RNO-9839383|Reactome:R-SSC-1442490|Reactome:R-SSC-1474228|Reactome:R-SSC-1592389|Reactome:R-SSC-2022090|Reactome:R-SSC-210991
tr|Q2W564|Q2W564_PARM1	d4bbfb9324bc917ef8d24bdf7c613ff8	535	Phobius	SIGNAL_PEPTIDE_H_REGION	Hydrophobic region of a signal peptide.	7	18	-	T	12-02-2026	-	-	-	-
tr|Q2W564|Q2W564_PARM1	d4bbfb9324bc917ef8d24bdf7c613ff8	535	Phobius	SIGNAL_PEPTIDE	Signal peptide region	1	26	-	T	12-02-2026	-	-	-	-
tr|Q2W564|Q2W564_PARM1	d4bbfb9324bc917ef8d24bdf7c613ff8	535	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	26	-	T	12-02-2026	-	-	-	-
tr|Q2W564|Q2W564_PARM1	d4bbfb9324bc917ef8d24bdf7c613ff8	535	Pfam	PF03734	L,D-transpeptidase catalytic domain	293	453	5.4E-23	T	12-02-2026	IPR005490	L,D-transpeptidase catalytic domain	GO:0016740(InterPro)	-
tr|Q2W564|Q2W564_PARM1	d4bbfb9324bc917ef8d24bdf7c613ff8	535	CDD	cd16913	YkuD_like	294	448	2.15857E-18	T	12-02-2026	IPR005490	L,D-transpeptidase catalytic domain	GO:0016740(InterPro)	-
tr|Q2W564|Q2W564_PARM1	d4bbfb9324bc917ef8d24bdf7c613ff8	535	PANTHER	PTHR41533	L,D-TRANSPEPTIDASE HI_1667-RELATED	26	522	2.6E-119	T	12-02-2026	IPR052905	L,D-transpeptidase YkuD-like	-	-
tr|Q2W564|Q2W564_PARM1	d4bbfb9324bc917ef8d24bdf7c613ff8	535	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	26	-	T	12-02-2026	-	-	-	-
tr|Q2W564|Q2W564_PARM1	d4bbfb9324bc917ef8d24bdf7c613ff8	535	ProSiteProfiles	PS52029	L,D-transpeptidase (L,D-TPase) catalytic domain profile.	293	482	15.191463	T	12-02-2026	IPR005490	L,D-transpeptidase catalytic domain	GO:0016740(InterPro)	-
tr|Q2W564|Q2W564_PARM1	d4bbfb9324bc917ef8d24bdf7c613ff8	535	Gene3D	G3DSA:1.10.101.10	-	196	267	2.3E-12	T	12-02-2026	IPR036366	PGBD superfamily	-	Reactome:R-HSA-1442490|Reactome:R-HSA-1474228|Reactome:R-HSA-1592389|Reactome:R-HSA-9839383|Reactome:R-HSA-9856530|Reactome:R-MMU-1442490|Reactome:R-MMU-1474228|Reactome:R-MMU-1592389|Reactome:R-MMU-9839383|Reactome:R-RNO-1442490|Reactome:R-RNO-1474228|Reactome:R-RNO-1592389|Reactome:R-RNO-9839383
tr|Q2W564|Q2W564_PARM1	d4bbfb9324bc917ef8d24bdf7c613ff8	535	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	26	-	T	12-02-2026	-	-	-	-
tr|Q2W564|Q2W564_PARM1	d4bbfb9324bc917ef8d24bdf7c613ff8	535	SUPERFAMILY	SSF141523	L,D-transpeptidase catalytic domain-like	290	449	1.01E-22	T	12-02-2026	IPR038063	L,D-transpeptidase catalytic domain-like	-	-
tr|Q2W564|Q2W564_PARM1	d4bbfb9324bc917ef8d24bdf7c613ff8	535	Gene3D	G3DSA:2.40.440.10	-	290	456	1.7E-14	T	12-02-2026	IPR038063	L,D-transpeptidase catalytic domain-like	-	-
tr|Q2W564|Q2W564_PARM1	d4bbfb9324bc917ef8d24bdf7c613ff8	535	Pfam	PF20142	Scaffold domain	53	181	4.2E-12	T	12-02-2026	IPR045380	L,D-transpeptidase, scaffold domain	-	-
tr|Q2W564|Q2W564_PARM1	d4bbfb9324bc917ef8d24bdf7c613ff8	535	SUPERFAMILY	SSF47090	PGBD-like	193	273	1.41E-14	T	12-02-2026	IPR036365	PGBD-like superfamily	-	Reactome:R-BTA-1433557|Reactome:R-BTA-1442490|Reactome:R-BTA-1474228|Reactome:R-BTA-1592389|Reactome:R-BTA-3928665|Reactome:R-BTA-6798695|Reactome:R-BTA-9009391|Reactome:R-CEL-1442490|Reactome:R-CEL-1474228|Reactome:R-CEL-1592389|Reactome:R-CEL-210991|Reactome:R-CEL-2168880|Reactome:R-CEL-2179392|Reactome:R-CEL-3928665|Reactome:R-CEL-6798695|Reactome:R-CFA-1442490|Reactome:R-CFA-1474228|Reactome:R-CFA-1592389|Reactome:R-CFA-2179392|Reactome:R-CFA-9009391|Reactome:R-DME-1442490|Reactome:R-DME-1474228|Reactome:R-DME-1592389|Reactome:R-DME-210991|Reactome:R-DME-2168880|Reactome:R-DME-2179392|Reactome:R-DME-3928665|Reactome:R-DME-6798695|Reactome:R-GGA-1442490|Reactome:R-GGA-1474228|Reactome:R-GGA-1592389|Reactome:R-GGA-3928665|Reactome:R-GGA-9009391|Reactome:R-HSA-1433557|Reactome:R-HSA-1442490|Reactome:R-HSA-1474228|Reactome:R-HSA-1592389|Reactome:R-HSA-2022090|Reactome:R-HSA-210991|Reactome:R-HSA-2179392|Reactome:R-HSA-381426|Reactome:R-HSA-3928665|Reactome:R-HSA-6785807|Reactome:R-HSA-6798695|Reactome:R-HSA-8941332|Reactome:R-HSA-9009391|Reactome:R-HSA-9839383|Reactome:R-HSA-9856530|Reactome:R-MMU-1433557|Reactome:R-MMU-1442490|Reactome:R-MMU-1474228|Reactome:R-MMU-1592389|Reactome:R-MMU-2022090|Reactome:R-MMU-210991|Reactome:R-MMU-2179392|Reactome:R-MMU-3928665|Reactome:R-MMU-6798695|Reactome:R-MMU-9009391|Reactome:R-MMU-9839383|Reactome:R-RNO-1433557|Reactome:R-RNO-1442490|Reactome:R-RNO-1474228|Reactome:R-RNO-1592389|Reactome:R-RNO-2022090|Reactome:R-RNO-2179392|Reactome:R-RNO-381426|Reactome:R-RNO-3928665|Reactome:R-RNO-6798695|Reactome:R-RNO-9009391|Reactome:R-RNO-9839383|Reactome:R-SSC-1442490|Reactome:R-SSC-1474228|Reactome:R-SSC-1592389|Reactome:R-SSC-2022090|Reactome:R-SSC-210991
tr|Q2W564|Q2W564_PARM1	d4bbfb9324bc917ef8d24bdf7c613ff8	535	Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.	27	535	-	T	12-02-2026	-	-	-	-
